generation, v1, v2, v3, q, v4, v5, nef, nes
3000,6.60817,0.0217382,0.0958977,0.0,0.0,0.0,518.711,438.724
3005,6.43237,0.0217382,0.0671284,0.0,0.00978237,0.0100538,469.868,425.991
3010,6.27725,0.0334233,0.0767182,0.0,0.0391295,0.0,505.061,427.963
3015,6.67022,0.0,0.0479489,0.0,0.0,0.0,501.508,430.979
3020,6.33929,0.0,0.0,0.0,0.0,0.0,494.549,429.851
3025,5.59471,0.0,0.0,0.0,0.0,0.0,508.147,432.998
3030,4.83979,0.0,0.0,0.0,0.0,0.0,485.881,435.55
3035,4.59159,0.0,0.0,0.0,0.0,0.0,508.147,427.991
3040,4.29169,0.0,0.0082106,0.0,0.0,0.0,509.704,429.991
3045,4.56728,0.00714617,0.0492636,0.0,0.0,0.0,526.371,440.998
3050,4.66398,0.0,0.106289,0.0,0.0,0.0235221,513.374,436.998
3055,5.12935,0.0,0.0492636,0.0,0.0,0.0299933,524.711,436.979
3060,5.08798,0.0,0.156001,0.0,0.0,0.00856952,483.996,428.886
3065,5.82222,0.0,0.303792,0.0,0.0,0.017139,475.691,425.991
3070,5.33618,0.0,0.197054,0.0,0.0,0.0,511.795,440.98
3075,5.12655,0.0107643,0.147791,0.0,0.0,0.0236517,505.061,436.998
3080,5.30515,0.0,0.114948,0.0,0.0,0.0230732,494.549,428.942
3085,5.76017,0.0,0.114948,0.0,0.0,0.0697981,525.817,435.991
3090,5.73949,0.0,0.262739,0.0,0.0,0.123249,480.269,426.81
3095,5.78086,0.0,0.435162,0.0,0.0,0.143536,525.817,442.889
3100,5.64642,0.0,0.607584,0.0,0.0,0.187478,518.172,432.979
3105,5.07764,0.0,1.19054,0.0,0.0246042,0.13786,493.083,432.813
3110,4.77774,0.0,1.47791,0.0,0.0482563,0.230732,506.599,430.608
3115,5.17071,0.0,1.9377,0.0,0.0289538,0.263316,509.184,436.979
3120,6.15315,0.0,2.26613,0.0,0.0672175,0.322446,502.012,431.963
3125,6.22554,0.0451573,2.3975,0.0,0.143404,0.261581,489.216,422.998
3130,6.34654,0.0,2.91476,0.0,0.0565423,0.157462,482.126,422.809
3135,6.17952,0.0,3.16929,0.0,0.0,0.0787311,464.186,416.998
3140,6.38325,0.0,3.05434,0.0,0.00777731,0.148955,491.142,430.979
