generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.696886,0.0,0.0350293,0.012115,0.0,461.183,427.916
3005,0.0,0.830998,0.0,0.0175146,0.0242299,0.0,487.781,424.998
3010,0.0,0.92124,0.0,0.0,0.0,0.0,505.572,436.888
3015,0.0,0.887417,0.0202471,0.0,0.0,0.0110402,520.334,428.886
3020,0.0,0.868642,0.0911121,0.0,0.0,0.0,498.501,429.851
3025,0.0,0.596643,0.0816866,0.0,0.0,0.0,489.696,433.991
3030,0.0,0.903271,0.0809885,0.0,0.0,0.0,503.024,440.816
3035,0.0,0.756431,0.101236,0.0,0.0160979,0.00915137,500.502,428.811
3040,0.0106529,0.757667,0.0607414,0.0103107,0.0160979,0.0366055,491.626,426.979
3045,0.0,1.11555,0.111359,0.0,0.0241469,0.0183027,506.599,435.917
3050,0.0,0.84232,0.293583,0.0,0.0643917,0.0549082,497.012,433.917
3055,0.0,0.798449,0.354325,0.0,0.120734,0.155573,483.059,421.659
3060,0.0,0.824772,0.222718,0.0,0.225371,0.0549082,485.881,427.963
3065,0.0,0.780901,0.212595,0.0,0.227018,0.0183027,483.996,424.998
3070,0.0,1.18451,0.303707,0.0,0.193871,0.0,518.172,440.98
3075,0.0,1.19329,0.611774,0.0,0.214469,0.0,503.024,433.991
3080,0.0,0.702124,0.78901,0.0,0.252812,0.0,519.251,434.979
3085,0.0,0.466561,0.672515,0.0,0.459929,0.0,521.421,437.918
3090,0.0,0.255025,0.569099,0.0,0.519566,0.0,478.428,430.942
3095,0.0,0.397515,0.73902,0.0,0.774722,0.0,500.502,438.888
3100,0.0,0.325792,0.587167,0.0,0.54986,0.0,520.877,437.918
3105,0.0,0.203145,0.506178,0.0,0.787271,0.0,494.059,434.943
3110,0.0,0.14096,0.820009,0.0,0.741575,0.0,499.499,430.998
3115,0.0,0.119571,0.838308,0.0,0.711977,0.0118888,504.04,433.77
3120,0.0,0.0991979,0.951615,0.0,1.04382,0.0,494.549,423.962
3125,0.0,0.133469,1.30594,0.0,1.05542,0.0,488.258,431.852
3130,0.0,0.116551,1.26422,0.0,0.825229,0.00924247,506.599,434.998
3135,0.0088023,0.19724,1.16299,0.0,1.09021,0.0,467.228,419.962
3140,0.0259275,0.25901,1.07188,0.0,1.04382,0.0,521.421,436.943
3145,0.0,0.286894,0.921244,0.0106619,1.06701,0.0,496.517,427.991
3150,0.0,0.475169,2.09558,1.1195,1.10181,0.0,129.577,388.542
3155,0.0,0.421376,7.30921,8.03558,0.881447,0.0,412.056,398.297
3160,0.0,0.107585,9.40479,10.1394,1.07861,0.0,456.542,414.708
