generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0406778,0.0,0.622787,0.761542,0.0,0.231064,489.696,424.998
3005,0.0,0.0,1.30324,0.552491,0.0,0.275076,493.083,430.998
3010,0.0,0.0,1.82223,0.627152,0.0,0.550153,507.114,432.998
3015,0.0,0.0,3.50606,1.19458,0.0,1.48541,456.542,423.66
3020,0.0,0.0,6.3086,2.09051,0.0,2.36104,476.6,418.597
3025,0.0,0.0,8.17679,3.15816,0.00833155,2.68475,461.61,436.888
3030,0.0,0.0,10.5515,3.96755,0.00867355,3.30066,498.501,432.887
3035,0.0,0.0,11.647,5.07728,0.0,3.72926,491.142,429.767
3040,0.0,0.0,12.3383,5.65353,0.0,3.34364,482.592,433.991
3045,0.0,0.0,13.0754,6.48734,0.0,3.86506,511.27,431.991
3050,0.0,0.0,13.8695,7.31702,0.0602584,3.73004,474.335,427.963
3055,0.0193407,0.0213639,4.35069,8.50226,0.0217281,4.00511,492.11,423.915
3060,0.0706421,0.0382707,5.93903,9.28166,0.0108641,3.99411,479.808,421.991
3065,0.0,0.0864034,7.48134,10.7271,0.0,4.00511,486.355,427.963
3070,0.0246028,0.100804,8.94308,11.7797,0.0,4.81934,453.636,414.882
3075,0.0,0.0432017,10.071,13.3285,0.0,4.36821,500.502,434.979
3080,0.0,0.0,10.9112,15.4918,0.00996989,4.69831,495.531,442.998
3085,0.0,0.0,11.1529,8.93016,0.0,4.63229,472.986,425.915
3090,0.0,0.0,11.3601,9.47344,0.0,4.50518,478.887,419.962
3095,0.027535,0.0,11.4143,10.0817,0.0,4.54426,514.964,436.998
3100,0.123907,0.0,11.5139,10.2136,0.0,4.58827,513.374,430.812
3105,0.117024,0.0,11.56,10.2655,0.0,4.3242,492.596,420.998
3110,0.240931,0.0,0.105786,10.4252,0.00943902,4.3242,503.024,428.886
3115,0.337304,0.00938065,0.138335,10.3713,0.0,4.55527,481.66,424.979
3120,0.598886,0.0,0.244121,10.5051,0.0,4.48925,482.592,432.887
3125,0.709026,0.0,0.260396,10.7997,0.0,4.92937,499.0,429.916
3130,0.66084,0.0,0.341769,11.1075,0.0130266,4.53326,515.496,434.814
3135,0.612654,0.0,0.423143,11.5459,0.0,4.35721,496.517,432.998
3140,0.392374,0.0,0.716088,1.66283,0.0,4.3352,492.596,431.991
3145,0.33042,0.0,1.68443,2.08086,0.0,4.3132,476.145,419.762
3150,0.337304,0.0,2.54699,2.74042,0.0,4.29119,490.177,424.941
3155,0.130791,0.0,3.37701,3.58577,0.0,4.3132,480.269,430.608
3160,0.0757212,0.0,4.10937,4.64478,0.0123881,4.47824,495.531,436.613
3165,0.122212,0.0,4.58134,5.68521,0.0,4.50025,513.903,440.98
3170,0.132988,0.0,4.93938,6.4005,0.0,4.15916,470.311,418.979
3175,0.154037,0.0,5.98096,7.19011,0.0109042,4.06013,500.502,429.767
3180,0.103942,0.0,6.20881,7.40377,0.0218084,4.39022,504.04,439.855
3185,0.149485,0.0,6.56685,8.23054,0.0654251,4.7284,528.602,438.979
3190,0.137155,0.0,7.01441,8.59284,0.207295,4.80767,493.571,441.919
3195,0.175359,0.0,7.30735,8.68573,0.174467,4.6067,526.927,449.964
3200,0.132164,0.0,7.51079,8.77863,0.185371,4.31131,519.792,441.421
3205,0.0175525,0.0,7.70608,8.8065,0.196275,3.74412,525.817,446.98
3210,0.0,0.0,7.90138,8.90171,0.305317,4.0924,504.04,432.887
3215,0.0,0.0,8.03972,8.97371,0.218084,4.40528,521.421,437.991
3220,0.0,0.0,8.07226,9.02944,0.163563,4.24694,526.927,445.919
3225,0.0,0.0,8.11295,9.22452,0.141754,4.1834,500.502,432.942
3230,0.0,0.0,0.0,9.23381,0.218084,4.33242,524.16,441.991
3235,0.0,0.0,0.0,0.0,0.27235,4.68349,508.147,442.98
3240,0.0,0.0126166,0.0489769,0.0448821,0.129832,4.91234,494.549,425.962
