generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.18263,0.0,0.0,1.84595,0.0,0.0,513.374,435.917
3005,0.136973,0.0,0.0,1.46818,0.0,0.0,521.421,433.991
3010,0.114144,0.0,0.0,1.36808,0.0103522,0.0,525.817,433.668
3015,0.0989246,0.0,0.034284,1.04552,0.0,0.0,502.012,435.963
3020,0.0760959,0.0,0.0,0.889807,0.0,0.0,506.085,430.942
3025,0.0684863,0.0,0.0,0.823072,0.0,0.0,505.061,432.0
3030,0.114144,0.0,0.0,1.02328,0.0,0.0,523.61,437.991
3035,0.0532671,0.0,0.0,1.4786,0.0,0.0,490.659,432.0
3040,0.0,0.0,0.0,1.82282,0.0,0.0,513.903,439.855
3045,0.0,0.0,0.0,2.0793,0.0106835,0.0102991,483.996,422.941
3050,0.0,0.0,0.0,2.03543,0.0320506,0.0205983,533.69,447.991
3055,0.0,0.0,0.0125974,1.84475,0.0106835,0.0,507.114,428.942
3060,0.0378448,0.0,0.0125974,1.87649,0.0,0.0,512.32,434.998
3065,0.010542,0.0,0.0,1.79074,0.0,0.0,520.334,442.98
3070,0.021084,0.0,0.0,1.83523,0.0,0.0,505.572,432.0
3075,0.021084,0.0,0.0,2.01319,0.00813904,0.0115489,517.635,436.888
3080,0.0,0.0,0.0,2.2134,0.024581,0.0461957,518.711,439.991
3085,0.0,0.0,0.0,2.56932,0.0737429,0.0233637,512.847,432.998
3090,0.0,0.0,0.0,2.25789,0.024581,0.0354443,508.147,424.0
3095,0.0523339,0.00748634,0.0,2.26711,0.0,0.0590738,495.531,431.852
3100,0.0261669,0.0,0.0,2.15778,0.0,0.0354443,492.11,425.962
3105,0.0,0.0,0.0,1.84861,0.0,0.0118148,507.63,439.991
3110,0.0,0.0,0.0,1.3792,0.0,0.0,491.142,429.916
3115,0.0,0.038875,0.0,1.30134,0.0,0.0,510.225,438.888
3120,0.0,0.0259167,0.0225528,1.73512,0.0108224,0.0,518.172,434.979
3125,0.0,0.0647917,0.0,1.67951,0.0,0.0,507.63,435.991
3130,0.0,0.134822,0.0,2.10217,0.0,0.0,506.085,439.991
3135,0.0,0.0687208,0.0,1.71288,0.0,0.0,489.216,424.809
3140,0.0,0.0428041,0.0,1.95758,0.0,0.0,485.881,428.606
3145,0.0,0.0285361,0.0,1.74625,0.0,0.0,520.334,438.998
3150,0.0,0.1027,0.0,2.28013,0.0,0.0,491.626,436.815
3155,0.0,0.176865,0.0,2.07992,0.0,0.0,522.513,433.963
3160,0.00753108,0.0494429,0.0,1.95758,0.0,0.0,516.029,433.917
3165,0.0,0.0209069,0.0,2.4136,0.0,0.0,507.63,436.943
3170,0.0,0.0284574,0.0,3.06983,0.0,0.0,497.012,440.0
3175,0.0,0.188572,0.0,2.78065,0.0,0.0281772,501.508,425.991
3180,0.0,0.226516,0.0,2.85851,0.0,0.0375695,475.691,424.602
3185,0.0934562,0.180337,0.0,2.6583,0.0,0.0,479.347,424.0
3190,0.186912,0.14346,0.0,2.52463,0.0,0.0,483.996,422.998
3195,0.0801053,0.105707,0.0,2.79137,0.0,0.0,505.572,441.991
3200,0.0534035,0.15101,0.0,2.93654,0.0,0.0,490.659,426.717
3205,0.120158,0.173662,0.0,3.04297,0.0,0.00978087,462.037,417.531
3210,0.141842,0.317122,0.0,3.77879,0.0,0.00786495,504.04,436.998
3215,0.0416641,0.339774,0.0,3.66764,0.0109244,0.0,518.711,432.979
3220,0.0249984,0.279369,0.0,3.71185,0.0,0.0,492.11,429.991
3225,0.0166656,0.414533,0.0,3.9783,0.0,0.0161446,511.27,434.887
3230,0.0,0.28692,0.0,3.1461,0.0,0.00807229,481.66,422.979
3235,0.0,0.203864,0.0,2.95771,0.0,0.0,490.177,422.0
3240,0.0,0.120808,0.0,3.32873,0.0,0.0,507.114,427.991
3245,0.0,0.0604042,0.0,3.0408,0.0137567,0.0,505.572,428.811
3250,0.0,0.105707,0.00661675,2.92408,0.0,0.0,516.029,442.98
3255,0.0,0.0528537,0.0,2.91335,0.0,0.0539088,522.513,436.979
3260,0.0,0.0981568,0.0,2.58044,0.0,0.0,497.507,436.979
3265,0.0,0.0679547,0.0,2.53595,0.0,0.0,481.196,422.941
3270,0.0,0.0755052,0.0,2.4136,0.0103274,0.0,496.517,428.718
3275,0.0,0.0296099,0.0,2.56932,0.0,0.0,499.499,429.851
3280,0.0,0.0876452,0.0,2.45809,0.0,0.0,506.599,438.0
3285,0.0,0.0,0.0,2.81402,0.0,0.0,511.27,430.942
3290,0.0,0.0,0.0,2.42472,0.0,0.0,520.334,433.853
3295,0.0,0.0,0.0,2.10217,0.0,0.0,511.795,429.544
3300,0.0,0.0,0.00912714,2.03543,0.0,0.0,503.024,436.943
3305,0.0,0.0,0.0365086,1.40145,0.0,0.0,493.083,426.0
3310,0.0,0.0,0.06389,1.22348,0.0,0.0,506.085,437.991
