generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.758632,1.13902,0.594293,2.56358,0.144747,0.050645,515.496,438.998
3005,0.865272,0.951269,0.978409,2.5746,0.24426,0.010129,480.732,429.916
3010,0.715282,0.684693,1.00015,2.5746,0.416023,0.0,484.466,432.48
3015,0.574393,0.725968,0.913181,2.55257,0.32568,0.0,488.258,427.991
3020,0.433504,0.593213,1.05399,2.55257,0.10856,0.0130043,513.374,432.942
3025,0.747795,0.743283,1.0188,2.55257,0.162471,0.039013,502.012,428.998
3030,0.455179,0.935832,0.944262,2.55257,0.244712,0.0,505.572,434.722
3035,0.390154,1.04569,0.826225,2.55257,0.401011,0.0346796,471.645,430.998
3040,0.380366,1.00308,1.39468,2.57632,0.208073,0.0693592,521.967,438.998
3045,0.422666,0.86806,1.34913,2.58819,0.180933,0.0346796,512.847,432.0
3050,0.715282,0.680049,1.48892,2.55257,0.361867,0.00874821,517.635,432.942
3055,0.433504,0.702813,1.4237,2.55257,0.43424,0.00874821,477.512,428.811
3060,0.400991,0.75301,1.15861,2.55257,0.29854,0.0,498.004,429.991
3065,0.184239,0.625314,1.06956,2.55257,0.307587,0.0,487.781,423.849
3070,0.173402,0.615457,1.23316,2.55257,0.235213,0.0,517.098,441.855
3075,0.151726,0.727717,1.08443,2.55257,0.253307,0.0,482.126,429.963
3080,0.27094,0.515063,1.09544,2.55257,0.361867,0.0,486.355,431.917
3085,0.214926,0.4875,1.15861,2.55257,0.37996,0.0,529.724,438.979
3090,0.466017,0.214923,1.37914,2.55257,0.235213,0.0,484.466,428.606
3095,0.292615,0.212523,1.26204,2.55257,0.226167,0.0,484.466,431.852
3100,0.260102,0.382438,1.56451,2.55257,0.126653,0.0,510.225,430.478
