generation, v1, v2, v3, q, v4, v5, nef, nes
3000,3.34396,0.204424,8.70691,1.20747,0.716132,0.762052,426.861,411.961
3005,3.33291,0.124926,10.0298,3.66311,0.62486,0.788948,501.004,432.979
3010,3.38541,0.0567846,11.241,5.94533,0.638902,1.01308,523.061,435.413
3015,3.35849,0.0,12.3231,7.26389,0.674006,1.05791,499.499,437.991
3020,3.33291,0.0363637,13.1674,8.69326,0.568693,0.947804,511.27,433.917
3025,3.3499,0.0218182,13.5675,10.4187,0.744215,0.883165,527.484,433.853
3030,3.35979,0.029091,13.8909,10.1908,0.891485,0.956421,518.172,434.814
3035,3.36689,0.181819,14.1318,10.7899,0.842508,0.779983,498.004,435.963
3040,3.38388,0.138869,14.473,10.8046,0.652944,0.833775,506.599,430.886
3045,3.3499,0.154101,15.437,11.3117,0.617839,0.735156,508.665,433.963
3050,3.33291,0.058182,15.5019,11.4922,0.62486,0.769843,507.114,433.668
3055,3.33291,0.0436365,15.4944,11.6791,0.603797,0.771135,493.083,424.998
3060,3.33291,0.058182,15.4699,11.6813,0.659965,0.854681,487.305,429.963
3065,3.33291,0.0218182,11.0402,12.3053,0.645923,0.876174,483.996,431.917
3070,3.33291,0.0654547,10.9842,12.2194,0.905696,0.830643,506.599,438.998
3075,3.3425,0.0945457,11.6529,12.8522,0.787239,1.00631,504.55,428.998
3080,3.37127,0.152728,11.916,12.8565,0.947822,0.898333,511.27,432.0
3085,3.33291,0.21091,11.8843,12.7301,1.08824,0.979412,490.659,428.998
3090,3.33291,0.167273,11.7844,12.9359,1.27078,1.1061,495.04,435.771
3095,3.33291,0.101818,11.9951,13.0754,1.42524,1.55319,543.573,448.998
3100,3.33291,0.029091,12.0656,13.4314,1.62183,2.22207,492.11,425.85
