generation, v1, v2, v3, q, v4, v5, nef, nes
3000,1.37612,0.0241982,0.0,1.22036,1.3159,0.0,487.781,421.962
3005,1.33313,0.0403304,0.0,1.13571,1.65367,0.0,475.238,426.941
3010,1.71402,0.0322643,0.0,1.02285,2.20255,0.0,501.004,431.917
3015,2.18513,0.112925,0.0,1.24858,2.22366,0.0,495.04,429.916
3020,2.66913,0.104859,0.0,1.17098,1.80848,0.0,476.145,431.407
3025,2.75935,0.0806607,0.0,1.41554,2.01959,0.00603589,519.251,433.853
3030,2.66773,0.0806607,0.0,1.80585,1.75218,0.00899439,494.059,434.814
3035,2.62617,0.0725947,0.0,1.88345,1.57626,0.0,513.903,433.963
3040,3.07371,0.0645286,0.0,2.11486,1.87181,0.0,517.635,435.963
3045,3.19399,0.0322945,0.0,2.00624,1.7733,0.0,494.059,432.0
3050,3.25457,0.0806607,0.0232521,2.18259,1.73107,0.0,492.596,430.942
3055,3.59969,0.0725947,0.0,2.32505,1.51293,0.0,508.147,432.998
3060,3.30601,0.153255,0.0370794,2.83575,1.46367,0.0,511.27,432.942
3065,2.96697,0.217784,0.0494392,2.81459,1.49182,0.0109017,506.599,429.963
3070,3.21755,0.209718,0.0,2.58886,1.49182,0.0,495.04,424.885
3075,3.0672,0.145189,0.0,2.998,1.47775,0.0,490.177,422.941
3080,3.26767,0.0725947,0.0,3.00505,1.8491,0.0,509.184,443.919
3085,3.35788,0.0725947,0.0,3.31543,1.82959,0.00782352,496.517,426.81
3090,3.04715,0.0322643,0.0,2.81459,1.79441,0.0,494.059,440.943
3095,3.68217,0.00806607,0.0,3.06854,1.78737,0.0104042,507.114,427.991
3100,4.30475,0.0161321,0.0,2.72289,1.76294,0.0,494.059,432.0
