generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,9.10342,0.102225,0.0,5.01916,3.05122,488.737,432.61
3005,0.00959512,8.69565,0.0,0.0,5.47757,3.16456,508.147,431.991
3010,0.0,8.46119,0.0,0.0,5.61742,3.00371,530.287,447.964
3015,0.0,8.47138,0.0,0.0,5.45426,3.18618,502.012,443.919
3020,0.0,8.33886,0.0,0.0,5.31441,3.6658,500.502,436.723
3025,0.0,8.06361,0.0,0.0,4.94923,4.27217,504.55,437.854
3030,0.0,7.47235,0.0,0.0,4.77127,4.10815,503.024,436.979
3035,0.0,7.89031,0.0,0.0,4.56075,3.88624,492.596,435.991
3040,0.0,7.7374,0.0,0.0,4.63845,4.53736,481.66,431.963
3045,0.0,7.75779,0.00520786,0.0,4.68915,4.0117,517.098,440.943
3050,0.0,7.70682,0.0,0.0,4.94152,4.52174,498.501,419.962
3055,0.0,7.24808,0.0,0.0,4.91598,4.48165,486.829,434.0
3060,0.0,6.69759,0.0,0.0,4.42649,4.22175,461.183,418.979
3065,0.0,6.97283,0.0612785,0.0,4.55744,4.33502,491.142,434.611
3070,0.0,7.2175,0.110301,0.0,4.50238,3.84243,516.029,434.943
3075,0.0,6.97283,0.245114,0.0,4.42171,3.72884,484.937,428.998
3080,0.0,7.75779,0.281881,0.0,4.44213,3.41231,521.421,438.979
3085,0.011284,7.68643,0.367671,0.00827713,4.64667,3.51086,510.225,438.979
3090,0.0,7.81895,0.343159,0.0146502,4.81245,3.64637,490.659,428.942
3095,0.0,7.98206,0.441687,0.0219753,5.27628,3.84347,492.11,426.717
3100,0.0,8.17575,0.281881,0.0146502,5.00779,3.90388,500.502,426.998
