generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.011438,0.432922,0.0,0.86965,2.53918,501.508,428.979
3005,0.0,0.0,0.247498,0.0116216,1.08529,2.85904,492.11,431.991
3010,0.0,0.0,0.0811648,0.0,1.48203,2.97045,492.11,434.998
3015,0.0,0.0,0.0366664,0.0,1.34524,3.14524,494.059,439.991
3020,0.0,0.00618132,0.109999,0.00780801,1.24644,3.31243,540.628,439.773
3025,0.0,0.0,0.101742,0.00874219,1.13402,3.14448,477.969,432.813
3030,0.0,0.0,0.203484,0.0646483,1.26486,2.96458,493.571,435.991
3035,0.0,0.0,2.56463,3.31214,1.06438,4.93874,232.201,385.477
3040,0.0114622,0.0,7.25609,10.8585,1.30611,7.11597,397.927,392.871
3045,0.0505406,0.0,9.2447,14.1275,1.02582,7.42945,496.517,437.918
3050,0.0101081,0.0,9.89237,14.5133,1.11656,8.03551,497.012,421.915
3055,0.0,0.0,9.95199,14.7953,1.64837,8.23405,492.596,430.812
3060,0.0,0.0119188,9.99055,7.41989,1.68851,8.28629,501.508,431.852
3065,0.0,0.0,9.98964,7.41989,1.69787,8.42213,488.258,434.943
3070,0.0,0.0,9.99964,7.41989,1.69635,8.2236,507.63,434.979
3075,0.0,0.0,10.0124,7.41989,1.39611,8.12955,506.085,440.943
3080,0.0,0.0375099,10.0351,7.41989,1.72534,8.28629,524.16,429.851
3085,0.0,0.0339415,10.0306,7.41989,1.47227,8.8819,518.172,439.964
3090,0.0,0.0,10.056,7.41989,1.57568,9.17448,491.626,432.813
3095,0.0,0.0,10.0707,7.41989,1.35334,9.25808,509.184,435.991
3100,0.0,0.0,10.0678,7.41989,1.18087,9.36257,491.626,431.769
