generation, v1, v2, v3, q, v4, v5, nef, nes
3000,4.69926,1.32782,0.0,2.22657,5.71047,3.09175,509.184,435.991
3005,4.69926,1.20674,0.0,2.35968,5.74999,3.69126,482.126,421.962
3010,4.71296,1.09108,0.0,2.12976,5.74902,3.46858,501.004,428.942
3015,4.71039,1.1285,0.0,1.94825,5.73476,3.18801,481.66,428.718
3020,4.69926,0.898162,0.0,1.63362,5.92167,3.04446,479.808,432.721
3025,4.69926,1.19477,0.0,1.64291,5.84826,2.68066,504.55,439.673
3030,4.69926,0.996008,0.0,1.9277,6.04456,2.78343,466.355,419.762
3035,4.69926,0.677952,0.0,2.56145,6.04946,2.68922,479.808,423.962
3040,4.69926,0.84744,0.0,2.82654,5.96516,2.54363,518.711,430.667
3045,4.71588,1.06989,0.0,3.07868,5.90509,2.13254,496.517,431.852
3050,4.69926,1.00634,0.0,2.77306,5.83631,2.31239,505.061,431.667
3055,4.69926,1.22879,0.0,2.95089,5.79779,2.00407,519.792,431.769
3060,4.69926,1.12286,0.00650125,3.01563,5.72353,1.82422,529.162,441.991
3065,4.69926,1.17694,0.0,3.52047,5.71296,1.61011,494.059,430.979
3070,4.69926,1.12341,0.0,3.66908,5.70312,1.43025,491.626,422.979
3075,4.69926,0.728678,0.0,3.59197,5.70312,1.36174,475.691,432.0
3080,4.69926,0.440999,0.0,3.67865,5.70312,1.44738,504.55,440.0
3085,4.69926,0.60045,0.0,3.25259,5.70312,0.99347,488.258,427.243
3090,4.69926,0.86472,0.0,2.81191,5.70312,0.976342,509.184,428.0
3095,4.69926,0.696343,0.0,2.98132,5.70312,0.950648,504.55,424.941
3100,4.69926,0.657878,0.0,2.59325,5.70312,0.865004,525.263,446.998
