generation, v1, v2, v3, q, v4, v5, nef, nes
3000,1.13548,0.0,0.0,0.0,4.13605,1.16847,496.024,425.967
3005,1.00831,0.0,0.0212278,0.0,4.13605,1.35175,504.04,433.917
3010,1.10494,0.0,0.0881518,0.0,4.10874,1.35038,489.216,423.915
3015,1.09006,0.0,0.122158,0.0,4.12695,1.44934,489.216,436.998
3020,0.935637,0.0,0.0839156,0.0107912,4.14515,1.32771,489.216,432.979
3025,0.862966,0.0,0.0286817,0.0513171,4.15425,1.16575,528.602,439.991
3030,0.999224,0.0,0.16253,0.10499,4.07234,1.56575,498.501,435.991
3035,1.59725,0.0,0.523912,0.476248,4.07234,1.42387,477.969,434.722
3040,2.06103,0.0,3.85291,4.75484,4.07234,4.03493,384.142,412.3
3045,2.57951,0.0,7.17999,8.77225,4.07234,5.9006,441.593,415.038
3050,3.02406,0.0,8.49934,10.1811,4.07234,6.26132,459.062,419.657
3055,3.65957,0.0108324,9.21639,10.7975,4.07234,6.77151,471.199,427.916
3060,3.82339,0.0108324,9.29287,10.9956,4.07234,6.99288,529.162,450.891
3065,3.83252,0.0,9.48408,5.50329,4.07234,7.06225,498.004,428.998
3070,4.35949,0.0,9.49364,5.64914,4.07234,6.84919,505.572,434.0
3075,4.66762,0.0,9.51276,5.93946,4.07234,6.28213,497.507,428.942
3080,4.22384,0.0105,9.52232,6.96627,4.07234,6.78831,469.868,432.48
3085,4.45816,0.0,9.55101,8.96536,4.07234,6.92013,447.534,421.659
3090,4.25991,0.046957,4.78028,11.3734,4.07234,6.43238,500.502,436.979
3095,4.59643,0.119689,4.82366,12.4729,4.07234,6.54217,499.0,424.715
3100,4.95978,0.103831,5.11648,13.5185,4.07234,6.65518,466.791,420.979
