generation, v1, v2, v3, q, v4, v5, nef, nes
3000,5.1666,6.01077,9.64145,0.187371,1.63731,0.36576,504.04,440.889
3005,4.69377,6.01077,9.89053,0.674537,2.17997,0.541419,483.527,431.667
3010,3.82222,6.01077,9.93205,1.47831,1.59053,0.633377,495.531,427.991
3015,4.02173,6.01077,10.0877,2.27199,1.93671,0.98727,509.704,434.887
3020,3.68571,6.01077,10.1604,3.02061,2.16126,0.982306,478.887,426.979
3025,3.73821,6.01077,10.2434,3.64432,2.09576,0.982375,521.421,439.918
3030,3.93765,6.01077,10.0358,4.14696,1.92735,1.35588,492.596,434.979
3035,4.47315,6.01077,10.233,4.72781,2.03963,1.62707,485.409,421.915
3040,4.44175,6.01077,10.3368,5.08295,1.75894,1.6105,517.635,433.548
3045,4.05323,6.01077,10.3057,5.41724,1.82444,1.19814,492.596,430.886
3050,4.12547,6.01077,10.3264,5.66986,1.81508,1.28652,503.024,437.963
3055,3.88522,6.01077,5.18916,5.88029,1.98349,1.0848,502.012,430.812
3060,3.82222,6.01077,5.18916,5.79006,1.90864,0.973274,513.903,426.979
3065,3.5597,6.01077,5.18916,5.74135,1.82444,1.0341,508.665,429.916
3070,3.41269,6.01077,5.18916,5.93477,1.83379,0.628573,510.747,433.853
3075,3.40219,6.01077,5.18916,6.02979,1.56247,0.466361,500.502,448.998
3080,3.16068,6.01077,5.18916,5.8848,1.34728,0.466361,516.563,438.815
3085,3.07667,6.01077,5.18916,5.988,1.30985,0.466361,469.868,423.764
3090,3.01524,6.01077,5.18916,6.07319,1.12273,0.52719,496.024,428.979
3095,3.08875,6.01077,5.18916,6.30828,0.887452,0.628573,502.012,426.81
3100,3.75921,6.01077,5.2258,6.439,1.28178,0.486637,504.55,432.0
