generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.879724,0.0,0.689647,2.54543,0.236146,1.16166,461.61,429.916
3005,0.665959,0.0194998,2.738,4.03304,0.528518,2.0376,483.527,429.991
3010,0.698846,0.0,5.98037,6.10744,0.517273,3.68516,477.969,419.743
3015,0.509747,0.0,8.33752,7.43017,0.528518,4.21307,483.527,425.85
3020,0.337091,0.0,9.69623,7.87925,0.719685,3.90851,496.024,429.963
3025,0.263095,0.0,10.0977,7.96906,0.738544,3.83744,488.258,430.886
3030,0.197321,0.0,10.2315,7.96906,0.963111,3.69531,513.374,441.919
3035,0.0986607,0.0,5.14662,8.03438,1.33298,3.79683,493.571,435.991
3040,0.164704,0.0,5.14662,8.15971,1.36299,3.78612,498.004,428.159
3045,0.254873,0.0,5.14662,4.08251,1.39895,3.35815,525.263,436.979
3050,0.485082,0.0,5.14662,4.09383,1.27072,2.96114,484.937,427.85
3055,0.567299,0.0,5.14662,4.08251,0.98959,2.5989,518.711,432.998
3060,0.929055,0.0,5.14662,4.08251,1.30218,2.03842,500.0,430.478
3065,1.15104,0.0,5.14662,4.08251,0.990651,2.00986,515.496,440.0
3070,1.29081,0.0,5.14662,4.08251,1.30186,1.84766,481.196,417.962
3075,1.05238,0.0,5.14662,4.09405,1.41214,1.62431,491.626,431.991
3080,1.34014,0.0,5.14662,4.14023,1.52676,1.74614,512.32,433.917
3085,1.57035,0.0,5.14662,4.28613,1.84473,1.76043,493.083,424.979
3090,1.33192,0.0,5.1688,4.9778,2.22869,1.54413,458.64,422.0
3095,1.82522,0.0102014,5.14662,5.6002,2.40807,1.65477,495.531,428.942
3100,2.21986,0.0,5.14662,5.92374,2.07506,1.55325,485.409,426.979
