generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,4.22798,9.32413,8.57949,0.540844,2.81376,496.517,434.814
3005,0.0,4.42705,10.1345,9.35327,0.772635,2.65809,513.374,435.963
3010,0.0,3.68139,10.1669,9.57359,0.584995,2.0638,505.572,435.991
3015,0.0,3.52506,10.2425,9.89383,0.60707,2.56183,501.508,425.915
3020,0.0,3.53556,10.4478,9.91043,0.309054,2.13114,523.061,442.889
3025,0.0,3.06345,10.7179,10.1205,0.584995,3.09261,502.012,428.942
3030,0.0,2.76969,10.8012,10.2871,0.529807,2.47528,508.665,446.0
3035,0.0,2.89472,5.46383,10.2871,0.508813,2.66248,516.029,438.815
3040,0.0,2.39299,5.75675,10.2768,0.474618,2.40155,492.11,431.963
3045,0.0,2.39201,5.92772,10.2768,0.366891,2.53906,512.847,432.0
3050,0.0,2.38152,6.00343,10.2871,0.309054,2.52524,505.572,438.0
3055,0.0,2.57036,6.25135,10.3389,0.165565,2.76157,480.732,430.886
3060,0.0,2.29759,6.66636,5.1746,0.0993387,2.81198,494.549,434.887
3065,0.0,2.22415,7.46033,5.1746,0.0551882,3.37324,520.877,436.998
3070,0.0,1.74155,8.10785,5.1746,0.0993387,2.99146,481.66,430.329
3075,0.0,1.61565,9.02516,5.1746,0.132452,2.82836,521.421,434.998
3080,0.0,1.8045,10.6285,5.1746,0.231287,2.81376,517.635,437.772
3085,0.0,1.75204,11.2298,5.1746,0.0953238,3.4503,488.258,426.0
3090,0.0,1.75204,11.9081,5.18285,0.0196218,3.47539,507.114,430.942
3095,0.0098785,1.93039,12.4709,5.1746,0.0,3.71378,493.571,429.767
3100,0.0,1.97236,12.5557,5.1746,0.0,3.60086,524.711,437.671
