generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0,4.30556,0.0,4.36516,1.47566,486.355,426.81
3005,0.0111745,0.0,4.30556,0.0,4.64089,1.91542,484.937,432.998
3010,0.156444,0.0,4.30556,0.0,4.59527,1.90565,504.55,440.943
3015,0.134095,0.0,4.30556,0.0,4.46256,1.86688,500.0,426.998
3020,0.0670473,0.0245568,4.30556,0.0,4.98373,1.76884,516.563,438.888
3025,0.0893963,0.0,4.30556,0.0,4.58971,1.54407,517.635,426.998
3030,0.0,0.0,4.30556,0.0955294,4.43893,1.4952,468.545,425.765
3035,0.0,0.10459,4.30556,1.53582,3.60438,1.69065,470.311,423.538
3040,0.0,0.113306,4.32696,3.19656,2.55363,2.65784,480.269,431.407
3045,0.0,0.174317,4.86182,5.24677,2.68606,2.63859,465.92,417.531
3050,0.011777,0.40093,5.3111,6.18002,2.65929,3.00995,450.768,421.393
3055,0.0,0.50552,7.38637,6.58418,3.45534,3.4204,471.645,430.608
3060,0.0,0.418362,9.78843,7.05448,3.52846,3.61365,517.098,438.0
3065,0.0151677,0.436599,11.9714,7.12062,2.71495,4.00774,510.747,430.998
3070,0.0455032,0.209181,13.6869,7.29391,2.49675,4.31069,491.626,419.848
3075,0.0774424,0.25276,14.6153,7.29698,2.42659,4.92538,509.184,434.814
3080,0.0,0.287624,15.0836,3.67421,2.27602,5.17946,511.27,432.979
3085,0.00908404,0.209181,15.8352,3.67421,2.42413,4.95469,500.502,435.963
3090,0.0280607,0.357351,16.4785,3.68284,2.27173,4.70006,507.63,433.991
3095,0.0593559,0.418362,16.908,3.72136,2.562,4.72882,469.868,424.941
3100,0.0,0.444509,17.6339,3.85486,2.68232,4.84719,496.517,439.673
