generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0610603,0.0,0.0,0.600338,0.0,500.502,437.991
3005,0.0,0.0697832,0.0,0.0,0.362995,0.0122887,536.559,439.918
3010,0.0,0.0348916,0.0,0.0,0.167536,0.0,544.76,445.964
3015,0.0183317,0.0301875,0.0,0.0,0.20942,0.0,504.55,447.991
3020,0.0,0.0261687,0.0,0.0,0.0139614,0.0,499.0,431.917
3025,0.0,0.104675,0.0114217,0.0,0.037473,0.0,516.563,439.964
3030,0.0,0.0174458,0.0342652,0.0,0.0,0.0,519.251,438.998
3035,0.0,0.0348916,0.125639,0.0113311,0.0,0.0,498.501,436.979
3040,0.0,0.0261687,0.0686562,0.0,0.0,0.0,481.66,428.998
3045,0.0,0.0959519,0.0344539,0.0,0.0,0.0,491.626,420.0
3050,0.0,0.087229,0.0689077,0.0,0.0,0.0,501.004,426.979
3055,0.0,0.0448952,0.1493,0.0,0.0,0.0105506,522.513,443.676
3060,0.0,0.0457489,0.332034,0.0,0.0457507,0.0105506,489.216,428.942
3065,0.0,0.182996,0.183754,0.0,0.0762512,0.0,517.635,434.943
3070,0.0,0.182996,0.206723,0.0,0.221128,0.0159186,486.355,425.662
3075,0.0,0.265344,0.241177,0.0,0.198253,0.0,506.085,435.917
3080,0.0,0.100648,0.275631,0.0,0.152502,0.0,507.114,430.886
3085,0.0,0.0823481,0.344539,0.0309994,0.0991265,0.0,487.781,433.991
3090,0.0,0.0457489,0.333054,0.0720823,0.114377,0.0,507.63,433.853
3095,0.0,0.192146,0.321569,0.0823798,0.0991265,0.0,484.466,432.0
3100,0.0,0.292793,0.528292,0.195652,0.0686261,0.0,512.847,426.885
